areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2020-11-04,1434,1123197
overview,United Kingdom,K02000001,2020-11-03,14512,1121763
overview,United Kingdom,K02000001,2020-11-02,29142,1107251
overview,United Kingdom,K02000001,2020-11-01,15419,1078109
overview,United Kingdom,K02000001,2020-10-31,16229,1062690
overview,United Kingdom,K02000001,2020-10-30,22551,1046461
overview,United Kingdom,K02000001,2020-10-29,23292,1023910
overview,United Kingdom,K02000001,2020-10-28,23619,1000618
overview,United Kingdom,K02000001,2020-10-27,24091,976999
overview,United Kingdom,K02000001,2020-10-26,26540,952908
overview,United Kingdom,K02000001,2020-10-25,15741,926368
overview,United Kingdom,K02000001,2020-10-24,16261,910627
overview,United Kingdom,K02000001,2020-10-23,21469,894366
overview,United Kingdom,K02000001,2020-10-22,23241,872897
overview,United Kingdom,K02000001,2020-10-21,25447,849656
overview,United Kingdom,K02000001,2020-10-20,25306,824209
overview,United Kingdom,K02000001,2020-10-19,25602,798903
overview,United Kingdom,K02000001,2020-10-18,14189,773301
overview,United Kingdom,K02000001,2020-10-17,14773,759112
overview,United Kingdom,K02000001,2020-10-16,17714,744339
overview,United Kingdom,K02000001,2020-10-15,18429,726625
overview,United Kingdom,K02000001,2020-10-14,19694,708196
overview,United Kingdom,K02000001,2020-10-13,18898,688502
overview,United Kingdom,K02000001,2020-10-12,19439,669604
overview,United Kingdom,K02000001,2020-10-11,12066,650165
overview,United Kingdom,K02000001,2020-10-10,12514,638099
overview,United Kingdom,K02000001,2020-10-09,15724,625585
overview,United Kingdom,K02000001,2020-10-08,18242,609861
overview,United Kingdom,K02000001,2020-10-07,18324,591619
overview,United Kingdom,K02000001,2020-10-06,17054,573295
overview,United Kingdom,K02000001,2020-10-05,16547,556241
overview,United Kingdom,K02000001,2020-10-04,11781,539694
overview,United Kingdom,K02000001,2020-10-03,11546,527913
overview,United Kingdom,K02000001,2020-10-02,13679,516367
overview,United Kingdom,K02000001,2020-10-01,13173,502688
overview,United Kingdom,K02000001,2020-09-30,12546,489515
overview,United Kingdom,K02000001,2020-09-29,10241,476969
overview,United Kingdom,K02000001,2020-09-28,9922,466728
overview,United Kingdom,K02000001,2020-09-27,6974,456806
overview,United Kingdom,K02000001,2020-09-26,6753,449832
overview,United Kingdom,K02000001,2020-09-25,7246,443079
overview,United Kingdom,K02000001,2020-09-24,7615,435833
overview,United Kingdom,K02000001,2020-09-23,7058,428218
overview,United Kingdom,K02000001,2020-09-22,6416,421160
overview,United Kingdom,K02000001,2020-09-21,5599,414744
overview,United Kingdom,K02000001,2020-09-20,5316,409145
overview,United Kingdom,K02000001,2020-09-19,4861,403829
overview,United Kingdom,K02000001,2020-09-18,4962,398968
overview,United Kingdom,K02000001,2020-09-17,4631,394006
overview,United Kingdom,K02000001,2020-09-16,4369,389375
overview,United Kingdom,K02000001,2020-09-15,3556,385006
overview,United Kingdom,K02000001,2020-09-14,3395,381450
overview,United Kingdom,K02000001,2020-09-13,2144,378055
overview,United Kingdom,K02000001,2020-09-12,2674,375911
overview,United Kingdom,K02000001,2020-09-11,3292,373237
overview,United Kingdom,K02000001,2020-09-10,3593,369945
overview,United Kingdom,K02000001,2020-09-09,3330,366352
overview,United Kingdom,K02000001,2020-09-08,3303,363022
overview,United Kingdom,K02000001,2020-09-07,3863,359719
overview,United Kingdom,K02000001,2020-09-06,2447,355856
overview,United Kingdom,K02000001,2020-09-05,2546,353409
overview,United Kingdom,K02000001,2020-09-04,3037,350863
overview,United Kingdom,K02000001,2020-09-03,3100,347826
overview,United Kingdom,K02000001,2020-09-02,2996,344726
overview,United Kingdom,K02000001,2020-09-01,2250,341730
overview,United Kingdom,K02000001,2020-08-31,1501,339480
overview,United Kingdom,K02000001,2020-08-30,1163,337979
overview,United Kingdom,K02000001,2020-08-29,1228,336816
overview,United Kingdom,K02000001,2020-08-28,1628,335588
overview,United Kingdom,K02000001,2020-08-27,1562,333960
overview,United Kingdom,K02000001,2020-08-26,1353,332398
overview,United Kingdom,K02000001,2020-08-25,1246,331045
overview,United Kingdom,K02000001,2020-08-24,1221,329799
overview,United Kingdom,K02000001,2020-08-23,823,328578
overview,United Kingdom,K02000001,2020-08-22,827,327755
overview,United Kingdom,K02000001,2020-08-21,1198,326928
overview,United Kingdom,K02000001,2020-08-20,1463,325730
overview,United Kingdom,K02000001,2020-08-19,1242,324267
overview,United Kingdom,K02000001,2020-08-18,1083,323025
overview,United Kingdom,K02000001,2020-08-17,1284,321942
overview,United Kingdom,K02000001,2020-08-16,598,320658
overview,United Kingdom,K02000001,2020-08-15,697,320060
overview,United Kingdom,K02000001,2020-08-14,1166,319363
overview,United Kingdom,K02000001,2020-08-13,1146,318197
overview,United Kingdom,K02000001,2020-08-12,1206,317051
overview,United Kingdom,K02000001,2020-08-11,1341,315845
overview,United Kingdom,K02000001,2020-08-10,1473,314504
overview,United Kingdom,K02000001,2020-08-09,616,313031
overview,United Kingdom,K02000001,2020-08-08,696,312415
overview,United Kingdom,K02000001,2020-08-07,942,311719
overview,United Kingdom,K02000001,2020-08-06,1083,310777
overview,United Kingdom,K02000001,2020-08-05,1059,309694
overview,United Kingdom,K02000001,2020-08-04,1019,308635
overview,United Kingdom,K02000001,2020-08-03,1042,307616
overview,United Kingdom,K02000001,2020-08-02,554,306574
overview,United Kingdom,K02000001,2020-08-01,542,306020
overview,United Kingdom,K02000001,2020-07-31,674,305478
overview,United Kingdom,K02000001,2020-07-30,922,304804
overview,United Kingdom,K02000001,2020-07-29,1039,303882
overview,United Kingdom,K02000001,2020-07-28,842,302843
overview,United Kingdom,K02000001,2020-07-27,857,302001
overview,United Kingdom,K02000001,2020-07-26,558,301144
overview,United Kingdom,K02000001,2020-07-25,523,300586
overview,United Kingdom,K02000001,2020-07-24,767,300063
overview,United Kingdom,K02000001,2020-07-23,799,299296
overview,United Kingdom,K02000001,2020-07-22,799,298497
overview,United Kingdom,K02000001,2020-07-21,783,297698
overview,United Kingdom,K02000001,2020-07-20,812,296915
overview,United Kingdom,K02000001,2020-07-19,443,296103
overview,United Kingdom,K02000001,2020-07-18,497,295660
overview,United Kingdom,K02000001,2020-07-17,579,295163
overview,United Kingdom,K02000001,2020-07-16,704,294584
overview,United Kingdom,K02000001,2020-07-15,773,293880
overview,United Kingdom,K02000001,2020-07-14,690,293107
overview,United Kingdom,K02000001,2020-07-13,733,292417
overview,United Kingdom,K02000001,2020-07-12,367,291684
